bucket_start_s,bucket_end_s,kernel_name,count,total_duration_ms,avg_duration_us
0.0,1.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,54,1014.2082820000003,18781.634851851857
0.0,1.0,[CUDA memset],27,0.08617499999999997,3.1916666666666655
1.0,2.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,53,995.562162,18784.191735849054
1.0,2.0,[CUDA memset],26,0.08227199999999998,3.1643076923076916
2.0,3.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,53,995.262039,18778.52903773585
2.0,3.0,[CUDA memset],27,0.083712,3.100444444444444
3.0,4.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,53,995.1655790000003,18776.709037735855
3.0,4.0,[CUDA memset],26,0.07913599999999998,3.043692307692307
4.0,5.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,54,1014.0685849999998,18779.047870370367
4.0,5.0,[CUDA memset],27,0.083008,3.0743703703703704
5.0,6.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,53,995.2905899999997,18779.06773584905
5.0,6.0,[CUDA memset],27,0.08524699999999999,3.1572962962962956
6.0,7.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,53,995.1895989999997,18777.162245283012
6.0,7.0,[CUDA memset],26,0.08240000000000001,3.16923076923077
7.0,8.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,53,995.292858,18779.110528301888
7.0,8.0,[CUDA memset],27,0.08275099999999999,3.0648518518518517
8.0,9.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,53,995.188194,18777.135735849053
8.0,9.0,[CUDA memset],26,0.07929299999999999,3.049730769230769
9.0,10.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,54,1013.9928190000002,18777.6447962963
9.0,10.0,[CUDA memset],27,0.08412700000000001,3.115814814814815
10.0,11.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,53,995.2204710000003,18777.744735849064
10.0,11.0,[CUDA memset],27,0.084672,3.1359999999999997
11.0,12.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,53,995.1655999999999,18776.709433962264
11.0,12.0,[CUDA memset],26,0.082526,3.174076923076923
12.0,13.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,53,995.2509200000001,18778.31924528302
12.0,13.0,[CUDA memset],27,0.08236699999999998,3.0506296296296287
13.0,14.0,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,8,150.224631,18778.078875
13.0,14.0,[CUDA memset],4,0.012191,3.04775
